"","CensusTract","lng1","lat1","lng2","lat2","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","centerlat","centerlng"
"87",32003001711,-115.107608,36.115222,-115.100784,36.111268,"Nevada","Clark County",3826,1936,1890,33.1,46.7,9.9,0,7.7,1.4,2692,31930,4578,25239,5270,27,58.7,22.4,37.1,26.9,2.6,11.1,69.3,7.6,14.1,0.5,8.1,0.2,23.6,1715,91,4.4,4.6,0,11.6,36.113245,-115.104196
"88",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"89",32003003303,-115.246412,36.269681,-115.242374,36.263169,"Nevada","Clark County",5125,2417,2708,27.4,53.2,15.6,0,2.3,0.3,3598,49263,5178,25364,3218,10.9,12.2,26.9,28.5,23.6,14.5,6.6,83.9,9.2,2.8,0,3.4,0.6,24.7,2542,84.1,11.2,4.7,0,9.6,36.266425,-115.244393
"90",32003005715,-115.094663,35.971553,-115.075521,35.960527,"Nevada","Clark County",4692,2498,2194,9.9,68.2,3.7,0.3,14.4,0,3547,125151,9692,72884,8634,4,0,58.3,9.8,25.2,2.7,4,84.2,5,0,0,1.3,9.4,28.4,1871,77.1,10.5,11.5,0.9,4.7,35.96604,-115.085092
"91",32003002827,-115.071416,36.089072,-115.063925,36.085694,"Nevada","Clark County",2743,1475,1268,26.4,41.9,17.1,0.3,7.5,3.3,2083,46743,10826,26829,3803,11.2,1.4,29.5,27.9,25.7,9.5,7.3,80.3,7.3,6.7,1.3,4.1,0.3,23.3,1562,85.3,9.9,4.9,0,6,36.087383,-115.0676705
"92",32003000301,-115.143126,36.188382,-115.141097,36.181191,"Nevada","Clark County",2623,1501,1122,39.9,10.4,45.5,0.2,2.6,0.3,1676,30000,6414,12776,1716,41,47.6,8.9,46.2,18.6,7.1,19.1,64.1,13.2,11.4,1.2,5,5.2,25.7,973,82.9,11.4,5.1,0.5,13.4,36.1847865,-115.1421115
"93",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"94",32003005311,-115.111065,36.045971,-115.109254,36.044696,"Nevada","Clark County",2821,1342,1479,18.2,60.9,4.8,0.6,12,0,2077,65050,15207,26683,2401,10.5,16.2,34.7,20.6,25.8,7.6,11.2,82.8,11.3,0,1.2,2.4,2.3,23.7,1400,80.7,14.1,5.2,0,9.4,36.0453335,-115.1101595
"95",32003005809,-115.279602,36.134869,-115.278933,36.131455,"Nevada","Clark County",4375,2083,2292,23.2,55.1,9.6,0.3,5.6,0.4,3016,49528,7231,27812,3266,19.9,29.7,31.8,22,26,7.6,12.5,78.4,10.4,3.2,0.8,5.5,1.8,25.4,2266,89.9,7.1,3,0,6.2,36.133162,-115.2792675
"96",32003000525,-115.116108,36.188483,-115.110921,36.184774,"Nevada","Clark County",2427,1266,1161,70.9,11.7,16.4,0,0.8,0,1286,24364,4129,13666,1473,21.1,27.8,4.3,43.6,18.6,15.3,18.1,79.5,10.8,7.2,0,2.6,0,29.6,972,92.5,1.9,5.7,0,10.9,36.1866285,-115.1135145
